D_loss,G_loss
0.24941736410426743,3.1768160111763897
0.021066705860635814,4.815974964815028
0.009888829444261157,5.454861893373377
0.005842324209344738,5.909046243218815
0.004060843363678192,6.262592231526094
0.0030069332775276374,6.52676845999325
0.0023965151939431533,6.734635928097894
0.001998759446638253,6.8965816918541405
0.0017537151100387907,7.064010353649364
0.0016515245250261882,7.196890859042897
0.001914665602859767,7.113256328246173
0.0032084371606983684,6.71588744836695
0.004483532448134878,6.498916135114782
0.0030421840321436964,6.897611351574168
0.0021182651330223855,7.256404273650226
0.002421194704605595,7.091954497730031
0.0017429911274709465,7.48001961147084
0.001414968736593009,7.6552088260650635
0.001014599559472545,7.775565371793859
0.0008593057624667007,8.123193376204547
