,model,split,f2_score,n_estimators,max_samples,contamination
56,n_estimators_50_max_samples_1.0_contamination_0.2/,1,0.8333333333333334,50,1.0,0.2
57,n_estimators_50_max_samples_1.0_contamination_0.2/,2,0.8333333333333334,50,1.0,0.2
58,n_estimators_50_max_samples_1.0_contamination_0.2/,3,0.8333333333333334,50,1.0,0.2
59,n_estimators_50_max_samples_1.0_contamination_0.2/,4,0.8333333333333334,50,1.0,0.2
60,n_estimators_100_max_samples_0.5_contamination_0.01/,0,0.8333333333333334,100,0.5,0.01
61,n_estimators_100_max_samples_0.5_contamination_0.01/,1,0.8506224066390041,100,0.5,0.01
62,n_estimators_100_max_samples_0.5_contamination_0.01/,2,0.8333333333333334,100,0.5,0.01
63,n_estimators_100_max_samples_0.5_contamination_0.01/,3,0.8333333333333334,100,0.5,0.01
64,n_estimators_100_max_samples_0.5_contamination_0.01/,4,0.8333333333333334,100,0.5,0.01
65,n_estimators_100_max_samples_0.5_contamination_0.05/,0,0.8333333333333334,100,0.5,0.05
66,n_estimators_100_max_samples_0.5_contamination_0.05/,1,0.8333333333333334,100,0.5,0.05
67,n_estimators_100_max_samples_0.5_contamination_0.05/,2,0.8333333333333334,100,0.5,0.05
68,n_estimators_100_max_samples_0.5_contamination_0.05/,3,0.8333333333333334,100,0.5,0.05
69,n_estimators_100_max_samples_0.5_contamination_0.05/,4,0.8333333333333334,100,0.5,0.05
70,n_estimators_100_max_samples_0.5_contamination_0.1/,0,0.8333333333333334,100,0.5,0.1
71,n_estimators_100_max_samples_0.5_contamination_0.1/,1,0.8333333333333334,100,0.5,0.1
72,n_estimators_100_max_samples_0.5_contamination_0.1/,2,0.8333333333333334,100,0.5,0.1
73,n_estimators_100_max_samples_0.5_contamination_0.1/,3,0.8333333333333334,100,0.5,0.1
74,n_estimators_100_max_samples_0.5_contamination_0.1/,4,0.8333333333333334,100,0.5,0.1
75,n_estimators_100_max_samples_0.5_contamination_0.2/,0,0.8333333333333334,100,0.5,0.2
76,n_estimators_100_max_samples_0.5_contamination_0.2/,1,0.8333333333333334,100,0.5,0.2
77,n_estimators_100_max_samples_0.5_contamination_0.2/,2,0.8333333333333334,100,0.5,0.2
78,n_estimators_100_max_samples_0.5_contamination_0.2/,3,0.8333333333333334,100,0.5,0.2
79,n_estimators_100_max_samples_0.5_contamination_0.2/,4,0.8333333333333334,100,0.5,0.2
80,n_estimators_100_max_samples_0.7_contamination_0.01/,0,0.8333333333333334,100,0.7,0.01
81,n_estimators_100_max_samples_0.7_contamination_0.01/,1,0.8333333333333334,100,0.7,0.01
82,n_estimators_100_max_samples_0.7_contamination_0.01/,2,0.8333333333333334,100,0.7,0.01
83,n_estimators_100_max_samples_0.7_contamination_0.01/,3,0.8333333333333334,100,0.7,0.01
84,n_estimators_100_max_samples_0.7_contamination_0.01/,4,0.8333333333333334,100,0.7,0.01
85,n_estimators_100_max_samples_0.7_contamination_0.05/,0,0.8333333333333334,100,0.7,0.05
86,n_estimators_100_max_samples_0.7_contamination_0.05/,1,0.8333333333333334,100,0.7,0.05
87,n_estimators_100_max_samples_0.7_contamination_0.05/,2,0.8333333333333334,100,0.7,0.05
88,n_estimators_100_max_samples_0.7_contamination_0.05/,3,0.8333333333333334,100,0.7,0.05
89,n_estimators_100_max_samples_0.7_contamination_0.05/,4,0.8333333333333334,100,0.7,0.05
90,n_estimators_100_max_samples_0.7_contamination_0.1/,0,0.8333333333333334,100,0.7,0.1
91,n_estimators_100_max_samples_0.7_contamination_0.1/,1,0.8333333333333334,100,0.7,0.1
92,n_estimators_100_max_samples_0.7_contamination_0.1/,2,0.8333333333333334,100,0.7,0.1
93,n_estimators_100_max_samples_0.7_contamination_0.1/,3,0.8333333333333334,100,0.7,0.1
94,n_estimators_100_max_samples_0.7_contamination_0.1/,4,0.8333333333333334,100,0.7,0.1
95,n_estimators_100_max_samples_0.7_contamination_0.2/,0,0.8333333333333334,100,0.7,0.2
96,n_estimators_100_max_samples_0.7_contamination_0.2/,1,0.8333333333333334,100,0.7,0.2
97,n_estimators_100_max_samples_0.7_contamination_0.2/,2,0.8333333333333334,100,0.7,0.2
98,n_estimators_100_max_samples_0.7_contamination_0.2/,3,0.8333333333333334,100,0.7,0.2
99,n_estimators_100_max_samples_0.7_contamination_0.2/,4,0.8333333333333334,100,0.7,0.2
100,n_estimators_100_max_samples_1.0_contamination_0.01/,0,0.8333333333333334,100,1.0,0.01
101,n_estimators_100_max_samples_1.0_contamination_0.01/,1,0.8333333333333334,100,1.0,0.01
102,n_estimators_100_max_samples_1.0_contamination_0.01/,2,0.8333333333333334,100,1.0,0.01
103,n_estimators_100_max_samples_1.0_contamination_0.01/,3,0.8333333333333334,100,1.0,0.01
104,n_estimators_100_max_samples_1.0_contamination_0.01/,4,0.8333333333333334,100,1.0,0.01
105,n_estimators_100_max_samples_1.0_contamination_0.05/,0,0.8333333333333334,100,1.0,0.05
106,n_estimators_100_max_samples_1.0_contamination_0.05/,1,0.8333333333333334,100,1.0,0.05
107,n_estimators_100_max_samples_1.0_contamination_0.05/,2,0.8333333333333334,100,1.0,0.05
108,n_estimators_100_max_samples_1.0_contamination_0.05/,3,0.8333333333333334,100,1.0,0.05
109,n_estimators_100_max_samples_1.0_contamination_0.05/,4,0.8333333333333334,100,1.0,0.05
110,n_estimators_100_max_samples_1.0_contamination_0.1/,0,0.8333333333333334,100,1.0,0.1
111,n_estimators_100_max_samples_1.0_contamination_0.1/,1,0.8333333333333334,100,1.0,0.1
112,n_estimators_100_max_samples_1.0_contamination_0.1/,2,0.8333333333333334,100,1.0,0.1
113,n_estimators_100_max_samples_1.0_contamination_0.1/,3,0.8333333333333334,100,1.0,0.1
114,n_estimators_100_max_samples_1.0_contamination_0.1/,4,0.8333333333333334,100,1.0,0.1
115,n_estimators_100_max_samples_1.0_contamination_0.2/,0,0.8333333333333334,100,1.0,0.2
116,n_estimators_100_max_samples_1.0_contamination_0.2/,1,0.8333333333333334,100,1.0,0.2
117,n_estimators_100_max_samples_1.0_contamination_0.2/,2,0.8333333333333334,100,1.0,0.2
118,n_estimators_100_max_samples_1.0_contamination_0.2/,3,0.8333333333333334,100,1.0,0.2
119,n_estimators_100_max_samples_1.0_contamination_0.2/,4,0.8333333333333334,100,1.0,0.2
120,n_estimators_200_max_samples_0.5_contamination_0.01/,0,0.8333333333333334,200,0.5,0.01
121,n_estimators_200_max_samples_0.5_contamination_0.01/,1,0.8333333333333334,200,0.5,0.01
122,n_estimators_200_max_samples_0.5_contamination_0.01/,2,0.8360522022838499,200,0.5,0.01
123,n_estimators_200_max_samples_0.5_contamination_0.01/,3,0.8333333333333334,200,0.5,0.01
124,n_estimators_200_max_samples_0.5_contamination_0.01/,4,0.8333333333333334,200,0.5,0.01
125,n_estimators_200_max_samples_0.5_contamination_0.05/,0,0.8333333333333334,200,0.5,0.05
126,n_estimators_200_max_samples_0.5_contamination_0.05/,1,0.8528698464025869,200,0.5,0.05
127,n_estimators_200_max_samples_0.5_contamination_0.05/,2,0.8333333333333334,200,0.5,0.05
128,n_estimators_200_max_samples_0.5_contamination_0.05/,3,0.8401305057096248,200,0.5,0.05
129,n_estimators_200_max_samples_0.5_contamination_0.05/,4,0.8207070707070707,200,0.5,0.05
130,n_estimators_200_max_samples_0.5_contamination_0.1/,0,0.8333333333333334,200,0.5,0.1
131,n_estimators_200_max_samples_0.5_contamination_0.1/,1,0.8333333333333334,200,0.5,0.1
132,n_estimators_200_max_samples_0.5_contamination_0.1/,2,0.8333333333333334,200,0.5,0.1
133,n_estimators_200_max_samples_0.5_contamination_0.1/,3,0.8401305057096248,200,0.5,0.1
134,n_estimators_200_max_samples_0.5_contamination_0.1/,4,0.8333333333333334,200,0.5,0.1
135,n_estimators_200_max_samples_0.5_contamination_0.2/,0,0.8333333333333334,200,0.5,0.2
