,model,split,f2_score,hidden_size,num_layers,bidirectional,dropout,lr,batch_size,num_epochs
77,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.001_batch_size_32_num_epochs_20/,2,0.8326817826426895,32,2,False,0.0,0.001,32,20
78,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.001_batch_size_32_num_epochs_20/,3,0.8326817826426895,32,2,False,0.0,0.001,32,20
79,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.001_batch_size_32_num_epochs_20/,4,0.8339828526890102,32,2,False,0.0,0.001,32,20
80,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.01_batch_size_32_num_epochs_10/,0,0.8339828526890102,32,2,False,0.0,0.01,32,10
81,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.01_batch_size_32_num_epochs_10/,1,0.8326817826426895,32,2,False,0.0,0.01,32,10
82,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.01_batch_size_32_num_epochs_10/,2,0.8326817826426895,32,2,False,0.0,0.01,32,10
83,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.01_batch_size_32_num_epochs_10/,3,0.8326817826426895,32,2,False,0.0,0.01,32,10
84,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.01_batch_size_32_num_epochs_10/,4,0.8339828526890102,32,2,False,0.0,0.01,32,10
85,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.01_batch_size_32_num_epochs_20/,0,0.8339828526890102,32,2,False,0.0,0.01,32,20
86,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.01_batch_size_32_num_epochs_20/,1,0.8326817826426895,32,2,False,0.0,0.01,32,20
87,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.01_batch_size_32_num_epochs_20/,2,0.8326817826426895,32,2,False,0.0,0.01,32,20
88,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.01_batch_size_32_num_epochs_20/,3,0.8326817826426895,32,2,False,0.0,0.01,32,20
89,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.01_batch_size_32_num_epochs_20/,4,0.8339828526890102,32,2,False,0.0,0.01,32,20
90,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_10/,0,0.8339828526890102,32,2,False,0.1,0.0001,32,10
91,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_10/,1,0.8326817826426895,32,2,False,0.1,0.0001,32,10
92,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_10/,2,0.8326817826426895,32,2,False,0.1,0.0001,32,10
93,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_10/,3,0.8326817826426895,32,2,False,0.1,0.0001,32,10
94,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_10/,4,0.8339828526890102,32,2,False,0.1,0.0001,32,10
95,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_20/,0,0.8339828526890102,32,2,False,0.1,0.0001,32,20
96,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_20/,1,0.8326817826426895,32,2,False,0.1,0.0001,32,20
97,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_20/,2,0.8326817826426895,32,2,False,0.1,0.0001,32,20
98,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_20/,3,0.8326817826426895,32,2,False,0.1,0.0001,32,20
99,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_20/,4,0.8339828526890102,32,2,False,0.1,0.0001,32,20
100,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.001_batch_size_32_num_epochs_10/,0,0.8339828526890102,32,2,False,0.1,0.001,32,10
101,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.001_batch_size_32_num_epochs_10/,1,0.8326817826426895,32,2,False,0.1,0.001,32,10
102,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.001_batch_size_32_num_epochs_10/,2,0.8326817826426895,32,2,False,0.1,0.001,32,10
103,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.001_batch_size_32_num_epochs_10/,3,0.8326817826426895,32,2,False,0.1,0.001,32,10
104,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.001_batch_size_32_num_epochs_10/,4,0.8339828526890102,32,2,False,0.1,0.001,32,10
105,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.001_batch_size_32_num_epochs_20/,0,0.8339828526890102,32,2,False,0.1,0.001,32,20
106,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.001_batch_size_32_num_epochs_20/,1,0.8326817826426895,32,2,False,0.1,0.001,32,20
107,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.001_batch_size_32_num_epochs_20/,2,0.8326817826426895,32,2,False,0.1,0.001,32,20
108,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.001_batch_size_32_num_epochs_20/,3,0.8326817826426895,32,2,False,0.1,0.001,32,20
109,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.001_batch_size_32_num_epochs_20/,4,0.8339828526890102,32,2,False,0.1,0.001,32,20
110,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.01_batch_size_32_num_epochs_10/,0,0.8339828526890102,32,2,False,0.1,0.01,32,10
111,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.01_batch_size_32_num_epochs_10/,1,0.8326817826426895,32,2,False,0.1,0.01,32,10
112,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.01_batch_size_32_num_epochs_10/,2,0.8326817826426895,32,2,False,0.1,0.01,32,10
113,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.01_batch_size_32_num_epochs_10/,3,0.8326817826426895,32,2,False,0.1,0.01,32,10
114,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.01_batch_size_32_num_epochs_10/,4,0.8339828526890102,32,2,False,0.1,0.01,32,10
115,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.01_batch_size_32_num_epochs_20/,0,0.8339828526890102,32,2,False,0.1,0.01,32,20
116,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.01_batch_size_32_num_epochs_20/,1,0.8326817826426895,32,2,False,0.1,0.01,32,20
117,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.01_batch_size_32_num_epochs_20/,2,0.8326817826426895,32,2,False,0.1,0.01,32,20
118,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.01_batch_size_32_num_epochs_20/,3,0.8326817826426895,32,2,False,0.1,0.01,32,20
119,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.1_lr_0.01_batch_size_32_num_epochs_20/,4,0.8339828526890102,32,2,False,0.1,0.01,32,20
120,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_10/,0,0.8339828526890102,32,3,True,0.0,0.0001,32,10
121,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_10/,1,0.8326817826426895,32,3,True,0.0,0.0001,32,10
122,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_10/,2,0.8326817826426895,32,3,True,0.0,0.0001,32,10
123,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_10/,3,0.8326817826426895,32,3,True,0.0,0.0001,32,10
124,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_10/,4,0.837245696400626,32,3,True,0.0,0.0001,32,10
125,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_20/,0,0.8346333853354134,32,3,True,0.0,0.0001,32,20
126,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_20/,1,0.8326817826426895,32,3,True,0.0,0.0001,32,20
127,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_20/,2,0.8326817826426895,32,3,True,0.0,0.0001,32,20
128,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_20/,3,0.8326817826426895,32,3,True,0.0,0.0001,32,20
129,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_20/,4,0.8339828526890102,32,3,True,0.0,0.0001,32,20
130,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.001_batch_size_32_num_epochs_10/,0,0.8339828526890102,32,3,True,0.0,0.001,32,10
131,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.001_batch_size_32_num_epochs_10/,1,0.8326817826426895,32,3,True,0.0,0.001,32,10
132,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.001_batch_size_32_num_epochs_10/,2,0.8326817826426895,32,3,True,0.0,0.001,32,10
133,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.001_batch_size_32_num_epochs_10/,3,0.8326817826426895,32,3,True,0.0,0.001,32,10
134,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.001_batch_size_32_num_epochs_10/,4,0.8339828526890102,32,3,True,0.0,0.001,32,10
135,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.001_batch_size_32_num_epochs_20/,0,0.8339828526890102,32,3,True,0.0,0.001,32,20
136,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.001_batch_size_32_num_epochs_20/,1,0.8326817826426895,32,3,True,0.0,0.001,32,20
137,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.001_batch_size_32_num_epochs_20/,2,0.8326817826426895,32,3,True,0.0,0.001,32,20
138,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.001_batch_size_32_num_epochs_20/,3,0.8372641509433962,32,3,True,0.0,0.001,32,20
139,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.001_batch_size_32_num_epochs_20/,4,0.8339828526890102,32,3,True,0.0,0.001,32,20
140,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.01_batch_size_32_num_epochs_10/,0,0.8339828526890102,32,3,True,0.0,0.01,32,10
141,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.01_batch_size_32_num_epochs_10/,1,0.8326817826426895,32,3,True,0.0,0.01,32,10
142,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.01_batch_size_32_num_epochs_10/,2,0.8326817826426895,32,3,True,0.0,0.01,32,10
143,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.01_batch_size_32_num_epochs_10/,3,0.8326817826426895,32,3,True,0.0,0.01,32,10
144,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.01_batch_size_32_num_epochs_10/,4,0.8339828526890102,32,3,True,0.0,0.01,32,10
145,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.01_batch_size_32_num_epochs_20/,0,0.8339828526890102,32,3,True,0.0,0.01,32,20
146,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.01_batch_size_32_num_epochs_20/,1,0.8326817826426895,32,3,True,0.0,0.01,32,20
147,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.01_batch_size_32_num_epochs_20/,2,0.8326817826426895,32,3,True,0.0,0.01,32,20
148,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.01_batch_size_32_num_epochs_20/,3,0.8326817826426895,32,3,True,0.0,0.01,32,20
149,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.0_lr_0.01_batch_size_32_num_epochs_20/,4,0.8339828526890102,32,3,True,0.0,0.01,32,20
150,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_10/,0,0.8339828526890102,32,3,True,0.1,0.0001,32,10
151,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_10/,1,0.8326817826426895,32,3,True,0.1,0.0001,32,10
152,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_10/,2,0.8326817826426895,32,3,True,0.1,0.0001,32,10
153,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_10/,3,0.8352941176470589,32,3,True,0.1,0.0001,32,10
154,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_10/,4,0.8339828526890102,32,3,True,0.1,0.0001,32,10
155,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_20/,0,0.8339828526890102,32,3,True,0.1,0.0001,32,20
156,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_20/,1,0.8326817826426895,32,3,True,0.1,0.0001,32,20
157,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_20/,2,0.8326817826426895,32,3,True,0.1,0.0001,32,20
158,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_20/,3,0.8326817826426895,32,3,True,0.1,0.0001,32,20
159,hidden_size_32_num_layers_3_bidirectional_True_dropout_0.1_lr_0.0001_batch_size_32_num_epochs_20/,4,0.8359375,32,3,True,0.1,0.0001,32,20
