,model,split,f2_score,n_neighbors,metric,contamination,encoding_dim
45,n_neighbors_5_metric_euclidean_contamination_0.2_encoding_dim_64/,0,0.8333333333333334,5,euclidean,0.2,64
46,n_neighbors_5_metric_euclidean_contamination_0.2_encoding_dim_64/,1,0.8333333333333334,5,euclidean,0.2,64
47,n_neighbors_5_metric_euclidean_contamination_0.2_encoding_dim_64/,2,0.8333333333333334,5,euclidean,0.2,64
48,n_neighbors_5_metric_euclidean_contamination_0.2_encoding_dim_64/,3,0.8333333333333334,5,euclidean,0.2,64
49,n_neighbors_5_metric_euclidean_contamination_0.2_encoding_dim_64/,4,0.8333333333333334,5,euclidean,0.2,64
50,n_neighbors_5_metric_euclidean_contamination_0.2_encoding_dim_128/,0,0.8333333333333334,5,euclidean,0.2,128
51,n_neighbors_5_metric_euclidean_contamination_0.2_encoding_dim_128/,1,0.8333333333333334,5,euclidean,0.2,128
52,n_neighbors_5_metric_euclidean_contamination_0.2_encoding_dim_128/,2,0.8333333333333334,5,euclidean,0.2,128
53,n_neighbors_5_metric_euclidean_contamination_0.2_encoding_dim_128/,3,0.8333333333333334,5,euclidean,0.2,128
54,n_neighbors_5_metric_euclidean_contamination_0.2_encoding_dim_128/,4,0.8333333333333334,5,euclidean,0.2,128
55,n_neighbors_5_metric_euclidean_contamination_0.2_encoding_dim_256/,0,0.8333333333333334,5,euclidean,0.2,256
56,n_neighbors_5_metric_euclidean_contamination_0.2_encoding_dim_256/,1,0.8333333333333334,5,euclidean,0.2,256
57,n_neighbors_5_metric_euclidean_contamination_0.2_encoding_dim_256/,2,0.8333333333333334,5,euclidean,0.2,256
58,n_neighbors_5_metric_euclidean_contamination_0.2_encoding_dim_256/,3,0.8333333333333334,5,euclidean,0.2,256
59,n_neighbors_5_metric_euclidean_contamination_0.2_encoding_dim_256/,4,0.8333333333333334,5,euclidean,0.2,256
60,n_neighbors_5_metric_manhattan_contamination_0.01_encoding_dim_64/,0,0.8333333333333334,5,manhattan,0.01,64
61,n_neighbors_5_metric_manhattan_contamination_0.01_encoding_dim_64/,1,0.8333333333333334,5,manhattan,0.01,64
62,n_neighbors_5_metric_manhattan_contamination_0.01_encoding_dim_64/,2,0.8333333333333334,5,manhattan,0.01,64
63,n_neighbors_5_metric_manhattan_contamination_0.01_encoding_dim_64/,3,0.8333333333333334,5,manhattan,0.01,64
64,n_neighbors_5_metric_manhattan_contamination_0.01_encoding_dim_64/,4,0.8333333333333334,5,manhattan,0.01,64
65,n_neighbors_5_metric_manhattan_contamination_0.01_encoding_dim_128/,0,0.8333333333333334,5,manhattan,0.01,128
66,n_neighbors_5_metric_manhattan_contamination_0.01_encoding_dim_128/,1,0.8333333333333334,5,manhattan,0.01,128
67,n_neighbors_5_metric_manhattan_contamination_0.01_encoding_dim_128/,2,0.8333333333333334,5,manhattan,0.01,128
68,n_neighbors_5_metric_manhattan_contamination_0.01_encoding_dim_128/,3,0.8333333333333334,5,manhattan,0.01,128
69,n_neighbors_5_metric_manhattan_contamination_0.01_encoding_dim_128/,4,0.8333333333333334,5,manhattan,0.01,128
70,n_neighbors_5_metric_manhattan_contamination_0.01_encoding_dim_256/,0,0.8333333333333334,5,manhattan,0.01,256
71,n_neighbors_5_metric_manhattan_contamination_0.01_encoding_dim_256/,1,0.8333333333333334,5,manhattan,0.01,256
72,n_neighbors_5_metric_manhattan_contamination_0.01_encoding_dim_256/,2,0.8333333333333334,5,manhattan,0.01,256
73,n_neighbors_5_metric_manhattan_contamination_0.01_encoding_dim_256/,3,0.8333333333333334,5,manhattan,0.01,256
74,n_neighbors_5_metric_manhattan_contamination_0.01_encoding_dim_256/,4,0.8333333333333334,5,manhattan,0.01,256
75,n_neighbors_5_metric_manhattan_contamination_0.05_encoding_dim_64/,0,0.8333333333333334,5,manhattan,0.05,64
76,n_neighbors_5_metric_manhattan_contamination_0.05_encoding_dim_64/,1,0.8333333333333334,5,manhattan,0.05,64
