D_loss,G_loss
1.3673052022706216,0.8063787026191825
1.2864645096793104,0.8984811884253773
1.239202746704443,0.9284446292848729
1.1940695812453086,0.9642696887699526
1.1593476071286557,0.9862152960763049
1.1181050868176703,1.0117765362582989
1.0754973354624278,1.0549906919251626
1.045070593926444,1.0727201806965159
1.0065067027931782,1.1198634176111932
0.9547774115605141,1.1568804356589246
0.9275190972570163,1.190111670921098
0.8744579562500342,1.2285369901514764
0.8345720643427834,1.280793590332145
0.7969485254430059,1.307524768274222
0.7757057556465491,1.353436005649282
0.741833899448167,1.3929590840837849
0.687857595842276,1.4552332554290544
0.6589235449904827,1.504596179990626
0.6734884488048838,1.5139724461000357
0.6491496576302087,1.5173284189024967
