,model,split,f2_score,n_neighbors,metric,contamination
55,n_neighbors_10_metric_euclidean_contamination_0.2/,0,0.8333333333333334,10,euclidean,0.2
56,n_neighbors_10_metric_euclidean_contamination_0.2/,1,0.8412322274881516,10,euclidean,0.2
57,n_neighbors_10_metric_euclidean_contamination_0.2/,2,0.8333333333333334,10,euclidean,0.2
58,n_neighbors_10_metric_euclidean_contamination_0.2/,3,0.8346333853354134,10,euclidean,0.2
59,n_neighbors_10_metric_euclidean_contamination_0.2/,4,0.8405341712490181,10,euclidean,0.2
60,n_neighbors_10_metric_manhattan_contamination_0.01/,0,0.8333333333333334,10,manhattan,0.01
61,n_neighbors_10_metric_manhattan_contamination_0.01/,1,0.8333333333333334,10,manhattan,0.01
62,n_neighbors_10_metric_manhattan_contamination_0.01/,2,0.8333333333333334,10,manhattan,0.01
63,n_neighbors_10_metric_manhattan_contamination_0.01/,3,0.8333333333333334,10,manhattan,0.01
64,n_neighbors_10_metric_manhattan_contamination_0.01/,4,0.8405341712490181,10,manhattan,0.01
65,n_neighbors_10_metric_manhattan_contamination_0.05/,0,0.8333333333333334,10,manhattan,0.05
66,n_neighbors_10_metric_manhattan_contamination_0.05/,1,0.8333333333333334,10,manhattan,0.05
67,n_neighbors_10_metric_manhattan_contamination_0.05/,2,0.8333333333333334,10,manhattan,0.05
68,n_neighbors_10_metric_manhattan_contamination_0.05/,3,0.8333333333333334,10,manhattan,0.05
69,n_neighbors_10_metric_manhattan_contamination_0.05/,4,0.8405341712490181,10,manhattan,0.05
70,n_neighbors_10_metric_manhattan_contamination_0.1/,0,0.8333333333333334,10,manhattan,0.1
71,n_neighbors_10_metric_manhattan_contamination_0.1/,1,0.8333333333333334,10,manhattan,0.1
72,n_neighbors_10_metric_manhattan_contamination_0.1/,2,0.8379013312451057,10,manhattan,0.1
73,n_neighbors_10_metric_manhattan_contamination_0.1/,3,0.8333333333333334,10,manhattan,0.1
74,n_neighbors_10_metric_manhattan_contamination_0.1/,4,0.837245696400626,10,manhattan,0.1
75,n_neighbors_10_metric_manhattan_contamination_0.2/,0,0.8333333333333334,10,manhattan,0.2
76,n_neighbors_10_metric_manhattan_contamination_0.2/,1,0.8333333333333334,10,manhattan,0.2
77,n_neighbors_10_metric_manhattan_contamination_0.2/,2,0.8339828526890102,10,manhattan,0.2
78,n_neighbors_10_metric_manhattan_contamination_0.2/,3,0.8333333333333334,10,manhattan,0.2
79,n_neighbors_10_metric_manhattan_contamination_0.2/,4,0.8405341712490181,10,manhattan,0.2
80,n_neighbors_20_metric_euclidean_contamination_0.01/,0,0.8405341712490181,20,euclidean,0.01
81,n_neighbors_20_metric_euclidean_contamination_0.01/,1,0.8506389776357828,20,euclidean,0.01
82,n_neighbors_20_metric_euclidean_contamination_0.01/,2,0.8401976935749588,20,euclidean,0.01
83,n_neighbors_20_metric_euclidean_contamination_0.01/,3,0.8478605388272583,20,euclidean,0.01
84,n_neighbors_20_metric_euclidean_contamination_0.01/,4,0.8379013312451057,20,euclidean,0.01
85,n_neighbors_20_metric_euclidean_contamination_0.05/,0,0.8471892319873318,20,euclidean,0.05
86,n_neighbors_20_metric_euclidean_contamination_0.05/,1,0.848605577689243,20,euclidean,0.05
87,n_neighbors_20_metric_euclidean_contamination_0.05/,2,0.8421480878763222,20,euclidean,0.05
88,n_neighbors_20_metric_euclidean_contamination_0.05/,3,0.8514931396287329,20,euclidean,0.05
89,n_neighbors_20_metric_euclidean_contamination_0.05/,4,0.8432304038004751,20,euclidean,0.05
90,n_neighbors_20_metric_euclidean_contamination_0.1/,0,0.8465189873417721,20,euclidean,0.1
91,n_neighbors_20_metric_euclidean_contamination_0.1/,1,0.8479299363057324,20,euclidean,0.1
92,n_neighbors_20_metric_euclidean_contamination_0.1/,2,0.8539505187549881,20,euclidean,0.1
93,n_neighbors_20_metric_euclidean_contamination_0.1/,3,0.8540497193263833,20,euclidean,0.1
94,n_neighbors_20_metric_euclidean_contamination_0.1/,4,0.8438985736925515,20,euclidean,0.1
95,n_neighbors_20_metric_euclidean_contamination_0.2/,0,0.8505564387917329,20,euclidean,0.2
96,n_neighbors_20_metric_euclidean_contamination_0.2/,1,0.8506389776357828,20,euclidean,0.2
97,n_neighbors_20_metric_euclidean_contamination_0.2/,2,0.843520782396088,20,euclidean,0.2
98,n_neighbors_20_metric_euclidean_contamination_0.2/,3,0.8503679476696647,20,euclidean,0.2
99,n_neighbors_20_metric_euclidean_contamination_0.2/,4,0.8426517571884984,20,euclidean,0.2
100,n_neighbors_20_metric_manhattan_contamination_0.01/,0,0.8333333333333334,20,manhattan,0.01
101,n_neighbors_20_metric_manhattan_contamination_0.01/,1,0.8661740558292282,20,manhattan,0.01
102,n_neighbors_20_metric_manhattan_contamination_0.01/,2,0.8496176720475785,20,manhattan,0.01
103,n_neighbors_20_metric_manhattan_contamination_0.01/,3,0.8663967611336032,20,manhattan,0.01
104,n_neighbors_20_metric_manhattan_contamination_0.01/,4,0.8333333333333334,20,manhattan,0.01
105,n_neighbors_20_metric_manhattan_contamination_0.05/,0,0.8553157474020784,20,manhattan,0.05
106,n_neighbors_20_metric_manhattan_contamination_0.05/,1,0.8550968828980623,20,manhattan,0.05
107,n_neighbors_20_metric_manhattan_contamination_0.05/,2,0.8468776732249786,20,manhattan,0.05
108,n_neighbors_20_metric_manhattan_contamination_0.05/,3,0.8658536585365854,20,manhattan,0.05
109,n_neighbors_20_metric_manhattan_contamination_0.05/,4,0.8587479935794543,20,manhattan,0.05
110,n_neighbors_20_metric_manhattan_contamination_0.1/,0,0.856,20,manhattan,0.1
111,n_neighbors_20_metric_manhattan_contamination_0.1/,1,0.8550968828980623,20,manhattan,0.1
112,n_neighbors_20_metric_manhattan_contamination_0.1/,2,0.8488175675675675,20,manhattan,0.1
113,n_neighbors_20_metric_manhattan_contamination_0.1/,3,0.866885784716516,20,manhattan,0.1
114,n_neighbors_20_metric_manhattan_contamination_0.1/,4,0.8594377510040161,20,manhattan,0.1
115,n_neighbors_20_metric_manhattan_contamination_0.2/,0,0.856,20,manhattan,0.2
116,n_neighbors_20_metric_manhattan_contamination_0.2/,1,0.866885784716516,20,manhattan,0.2
117,n_neighbors_20_metric_manhattan_contamination_0.2/,2,0.8626328699918234,20,manhattan,0.2
118,n_neighbors_20_metric_manhattan_contamination_0.2/,3,0.8693877551020408,20,manhattan,0.2
119,n_neighbors_20_metric_manhattan_contamination_0.2/,4,0.8588709677419355,20,manhattan,0.2
120,n_neighbors_50_metric_euclidean_contamination_0.01/,0,0.8602584814216478,50,euclidean,0.01
