,model,split,f2_score,lr,num_epochs,kernel_size,out_channels,activation,fc1_size
33,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_32/",3,0.8326817826426895,0.0001,10,5,"[32, 64]",relu,32
34,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_32/",4,0.8339828526890102,0.0001,10,5,"[32, 64]",relu,32
35,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_64/",0,0.8339828526890102,0.0001,10,5,"[32, 64]",relu,64
36,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_64/",1,0.8326817826426895,0.0001,10,5,"[32, 64]",relu,64
37,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_64/",2,0.8326817826426895,0.0001,10,5,"[32, 64]",relu,64
38,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_64/",3,0.8326817826426895,0.0001,10,5,"[32, 64]",relu,64
39,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_64/",4,0.8339828526890102,0.0001,10,5,"[32, 64]",relu,64
40,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_128/",0,0.8481421647819063,0.0001,10,5,"[32, 64]",relu,128
41,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_128/",1,0.8326817826426895,0.0001,10,5,"[32, 64]",relu,128
42,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_128/",2,0.8326817826426895,0.0001,10,5,"[32, 64]",relu,128
43,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_128/",3,0.8326817826426895,0.0001,10,5,"[32, 64]",relu,128
44,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_128/",4,0.8339828526890102,0.0001,10,5,"[32, 64]",relu,128
45,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_leaky_relu_fc1_size_32/",0,0.8339828526890102,0.0001,10,5,"[32, 64]",leaky_relu,32
46,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_leaky_relu_fc1_size_32/",1,0.8326817826426895,0.0001,10,5,"[32, 64]",leaky_relu,32
47,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_leaky_relu_fc1_size_32/",2,0.8326817826426895,0.0001,10,5,"[32, 64]",leaky_relu,32
48,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_leaky_relu_fc1_size_32/",3,0.8339859044635866,0.0001,10,5,"[32, 64]",leaky_relu,32
49,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_leaky_relu_fc1_size_32/",4,0.8339828526890102,0.0001,10,5,"[32, 64]",leaky_relu,32
50,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_leaky_relu_fc1_size_64/",0,0.8339828526890102,0.0001,10,5,"[32, 64]",leaky_relu,64
51,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_leaky_relu_fc1_size_64/",1,0.8326817826426895,0.0001,10,5,"[32, 64]",leaky_relu,64
52,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_leaky_relu_fc1_size_64/",2,0.8326817826426895,0.0001,10,5,"[32, 64]",leaky_relu,64
53,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_leaky_relu_fc1_size_64/",3,0.8352941176470589,0.0001,10,5,"[32, 64]",leaky_relu,64
54,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_leaky_relu_fc1_size_64/",4,0.8339828526890102,0.0001,10,5,"[32, 64]",leaky_relu,64
55,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_leaky_relu_fc1_size_128/",0,0.8339828526890102,0.0001,10,5,"[32, 64]",leaky_relu,128
56,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_leaky_relu_fc1_size_128/",1,0.8326817826426895,0.0001,10,5,"[32, 64]",leaky_relu,128
57,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_leaky_relu_fc1_size_128/",2,0.8326817826426895,0.0001,10,5,"[32, 64]",leaky_relu,128
58,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_leaky_relu_fc1_size_128/",3,0.8326817826426895,0.0001,10,5,"[32, 64]",leaky_relu,128
59,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_leaky_relu_fc1_size_128/",4,0.8655536028119508,0.0001,10,5,"[32, 64]",leaky_relu,128
60,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_relu_fc1_size_32/",0,0.8339828526890102,0.0001,10,5,"[32, 64, 128]",relu,32
61,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_relu_fc1_size_32/",1,0.8326817826426895,0.0001,10,5,"[32, 64, 128]",relu,32
62,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_relu_fc1_size_32/",2,0.8326817826426895,0.0001,10,5,"[32, 64, 128]",relu,32
63,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_relu_fc1_size_32/",3,0.8326817826426895,0.0001,10,5,"[32, 64, 128]",relu,32
64,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_relu_fc1_size_32/",4,0.8339828526890102,0.0001,10,5,"[32, 64, 128]",relu,32
65,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_relu_fc1_size_64/",0,0.8509771986970684,0.0001,10,5,"[32, 64, 128]",relu,64
66,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_relu_fc1_size_64/",1,0.8326817826426895,0.0001,10,5,"[32, 64, 128]",relu,64
67,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_relu_fc1_size_64/",2,0.8326817826426895,0.0001,10,5,"[32, 64, 128]",relu,64
68,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_relu_fc1_size_64/",3,0.8326817826426895,0.0001,10,5,"[32, 64, 128]",relu,64
69,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_relu_fc1_size_64/",4,0.8339828526890102,0.0001,10,5,"[32, 64, 128]",relu,64
70,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_relu_fc1_size_128/",0,0.8470394736842105,0.0001,10,5,"[32, 64, 128]",relu,128
71,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_relu_fc1_size_128/",1,0.8326817826426895,0.0001,10,5,"[32, 64, 128]",relu,128
72,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_relu_fc1_size_128/",2,0.8326817826426895,0.0001,10,5,"[32, 64, 128]",relu,128
73,"lr_0.0001_num_epochs_10_kernel_size_5_out_channels_[32, 64, 128]_activation_relu_fc1_size_128/",3,0.8326817826426895,0.0001,10,5,"[32, 64, 128]",relu,128
