,model,split,f2_score,lr,num_epochs,kernel_size,out_channels,activation,fc1_size
431,"lr_0.0001_num_epochs_20_kernel_size_10_out_channels_[32, 64, 128]_activation_relu_fc1_size_128/",1,0.8352941176470589,0.0001,20,10,"[32, 64, 128]",relu,128
432,"lr_0.0001_num_epochs_20_kernel_size_10_out_channels_[32, 64, 128]_activation_relu_fc1_size_128/",2,0.8326817826426895,0.0001,20,10,"[32, 64, 128]",relu,128
433,"lr_0.0001_num_epochs_20_kernel_size_10_out_channels_[32, 64, 128]_activation_relu_fc1_size_128/",3,0.8326817826426895,0.0001,20,10,"[32, 64, 128]",relu,128
434,"lr_0.0001_num_epochs_20_kernel_size_10_out_channels_[32, 64, 128]_activation_relu_fc1_size_128/",4,0.8339828526890102,0.0001,20,10,"[32, 64, 128]",relu,128
435,"lr_0.0001_num_epochs_20_kernel_size_10_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_32/",0,0.8340080971659919,0.0001,20,10,"[32, 64, 128]",leaky_relu,32
436,"lr_0.0001_num_epochs_20_kernel_size_10_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_32/",1,0.8326817826426895,0.0001,20,10,"[32, 64, 128]",leaky_relu,32
437,"lr_0.0001_num_epochs_20_kernel_size_10_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_32/",2,0.8326817826426895,0.0001,20,10,"[32, 64, 128]",leaky_relu,32
438,"lr_0.0001_num_epochs_20_kernel_size_10_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_32/",3,0.8326817826426895,0.0001,20,10,"[32, 64, 128]",leaky_relu,32
439,"lr_0.0001_num_epochs_20_kernel_size_10_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_32/",4,0.8339828526890102,0.0001,20,10,"[32, 64, 128]",leaky_relu,32
440,"lr_0.0001_num_epochs_20_kernel_size_10_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_64/",0,0.8346333853354134,0.0001,20,10,"[32, 64, 128]",leaky_relu,64
441,"lr_0.0001_num_epochs_20_kernel_size_10_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_64/",1,0.8326817826426895,0.0001,20,10,"[32, 64, 128]",leaky_relu,64
442,"lr_0.0001_num_epochs_20_kernel_size_10_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_64/",2,0.8326817826426895,0.0001,20,10,"[32, 64, 128]",leaky_relu,64
443,"lr_0.0001_num_epochs_20_kernel_size_10_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_64/",3,0.8326817826426895,0.0001,20,10,"[32, 64, 128]",leaky_relu,64
444,"lr_0.0001_num_epochs_20_kernel_size_10_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_64/",4,0.8339828526890102,0.0001,20,10,"[32, 64, 128]",leaky_relu,64
445,"lr_0.0001_num_epochs_20_kernel_size_10_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_128/",0,0.867430441898527,0.0001,20,10,"[32, 64, 128]",leaky_relu,128
446,"lr_0.0001_num_epochs_20_kernel_size_10_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_128/",1,0.8326817826426895,0.0001,20,10,"[32, 64, 128]",leaky_relu,128
447,"lr_0.0001_num_epochs_20_kernel_size_10_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_128/",2,0.8326817826426895,0.0001,20,10,"[32, 64, 128]",leaky_relu,128
448,"lr_0.0001_num_epochs_20_kernel_size_10_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_128/",3,0.8326817826426895,0.0001,20,10,"[32, 64, 128]",leaky_relu,128
449,"lr_0.0001_num_epochs_20_kernel_size_10_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_128/",4,0.8468468468468469,0.0001,20,10,"[32, 64, 128]",leaky_relu,128
450,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_relu_fc1_size_32/,0,0.8339828526890102,0.0001,20,50,[32],relu,32
451,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_relu_fc1_size_32/,1,0.8326817826426895,0.0001,20,50,[32],relu,32
452,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_relu_fc1_size_32/,2,0.8326817826426895,0.0001,20,50,[32],relu,32
453,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_relu_fc1_size_32/,3,0.8326817826426895,0.0001,20,50,[32],relu,32
454,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_relu_fc1_size_32/,4,0.8359375,0.0001,20,50,[32],relu,32
455,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_relu_fc1_size_64/,0,0.8339828526890102,0.0001,20,50,[32],relu,64
456,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_relu_fc1_size_64/,1,0.8326817826426895,0.0001,20,50,[32],relu,64
457,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_relu_fc1_size_64/,2,0.8326817826426895,0.0001,20,50,[32],relu,64
458,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_relu_fc1_size_64/,3,0.8326817826426895,0.0001,20,50,[32],relu,64
459,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_relu_fc1_size_64/,4,0.8339828526890102,0.0001,20,50,[32],relu,64
460,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_relu_fc1_size_128/,0,0.8339828526890102,0.0001,20,50,[32],relu,128
461,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_relu_fc1_size_128/,1,0.8326817826426895,0.0001,20,50,[32],relu,128
462,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_relu_fc1_size_128/,2,0.8326817826426895,0.0001,20,50,[32],relu,128
463,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_relu_fc1_size_128/,3,0.8412322274881516,0.0001,20,50,[32],relu,128
464,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_relu_fc1_size_128/,4,0.8339828526890102,0.0001,20,50,[32],relu,128
465,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_leaky_relu_fc1_size_32/,0,0.8339828526890102,0.0001,20,50,[32],leaky_relu,32
466,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_leaky_relu_fc1_size_32/,1,0.8372641509433962,0.0001,20,50,[32],leaky_relu,32
467,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_leaky_relu_fc1_size_32/,2,0.8326817826426895,0.0001,20,50,[32],leaky_relu,32
468,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_leaky_relu_fc1_size_32/,3,0.8326817826426895,0.0001,20,50,[32],leaky_relu,32
469,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_leaky_relu_fc1_size_32/,4,0.8339828526890102,0.0001,20,50,[32],leaky_relu,32
470,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_leaky_relu_fc1_size_64/,0,0.8339828526890102,0.0001,20,50,[32],leaky_relu,64
471,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_leaky_relu_fc1_size_64/,1,0.8326817826426895,0.0001,20,50,[32],leaky_relu,64
472,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_leaky_relu_fc1_size_64/,2,0.8366064414768264,0.0001,20,50,[32],leaky_relu,64
473,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_leaky_relu_fc1_size_64/,3,0.8326817826426895,0.0001,20,50,[32],leaky_relu,64
474,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_leaky_relu_fc1_size_64/,4,0.8339828526890102,0.0001,20,50,[32],leaky_relu,64
475,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_leaky_relu_fc1_size_128/,0,0.8339828526890102,0.0001,20,50,[32],leaky_relu,128
476,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_leaky_relu_fc1_size_128/,1,0.8385826771653543,0.0001,20,50,[32],leaky_relu,128
477,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_leaky_relu_fc1_size_128/,2,0.8326817826426895,0.0001,20,50,[32],leaky_relu,128
478,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_leaky_relu_fc1_size_128/,3,0.8339859044635866,0.0001,20,50,[32],leaky_relu,128
479,lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32]_activation_leaky_relu_fc1_size_128/,4,0.8339828526890102,0.0001,20,50,[32],leaky_relu,128
480,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_relu_fc1_size_32/",0,0.8339828526890102,0.0001,20,50,"[32, 64]",relu,32
481,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_relu_fc1_size_32/",1,0.8326817826426895,0.0001,20,50,"[32, 64]",relu,32
482,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_relu_fc1_size_32/",2,0.8326817826426895,0.0001,20,50,"[32, 64]",relu,32
483,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_relu_fc1_size_32/",3,0.8326817826426895,0.0001,20,50,"[32, 64]",relu,32
484,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_relu_fc1_size_32/",4,0.8339828526890102,0.0001,20,50,"[32, 64]",relu,32
485,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_relu_fc1_size_64/",0,0.8339828526890102,0.0001,20,50,"[32, 64]",relu,64
486,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_relu_fc1_size_64/",1,0.8429752066115702,0.0001,20,50,"[32, 64]",relu,64
487,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_relu_fc1_size_64/",2,0.8326817826426895,0.0001,20,50,"[32, 64]",relu,64
488,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_relu_fc1_size_64/",3,0.8326817826426895,0.0001,20,50,"[32, 64]",relu,64
489,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_relu_fc1_size_64/",4,0.8339828526890102,0.0001,20,50,"[32, 64]",relu,64
490,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_relu_fc1_size_128/",0,0.8339828526890102,0.0001,20,50,"[32, 64]",relu,128
491,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_relu_fc1_size_128/",1,0.8326817826426895,0.0001,20,50,"[32, 64]",relu,128
492,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_relu_fc1_size_128/",2,0.8326817826426895,0.0001,20,50,"[32, 64]",relu,128
493,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_relu_fc1_size_128/",3,0.8326817826426895,0.0001,20,50,"[32, 64]",relu,128
494,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_relu_fc1_size_128/",4,0.8339828526890102,0.0001,20,50,"[32, 64]",relu,128
495,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_leaky_relu_fc1_size_32/",0,0.8339828526890102,0.0001,20,50,"[32, 64]",leaky_relu,32
496,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_leaky_relu_fc1_size_32/",1,0.8326817826426895,0.0001,20,50,"[32, 64]",leaky_relu,32
497,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_leaky_relu_fc1_size_32/",2,0.8481421647819063,0.0001,20,50,"[32, 64]",leaky_relu,32
498,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_leaky_relu_fc1_size_32/",3,0.8326817826426895,0.0001,20,50,"[32, 64]",leaky_relu,32
499,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_leaky_relu_fc1_size_32/",4,0.8339828526890102,0.0001,20,50,"[32, 64]",leaky_relu,32
500,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_leaky_relu_fc1_size_64/",0,0.8339828526890102,0.0001,20,50,"[32, 64]",leaky_relu,64
501,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_leaky_relu_fc1_size_64/",1,0.8326817826426895,0.0001,20,50,"[32, 64]",leaky_relu,64
502,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_leaky_relu_fc1_size_64/",2,0.8326817826426895,0.0001,20,50,"[32, 64]",leaky_relu,64
503,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_leaky_relu_fc1_size_64/",3,0.8326817826426895,0.0001,20,50,"[32, 64]",leaky_relu,64
504,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_leaky_relu_fc1_size_64/",4,0.8339828526890102,0.0001,20,50,"[32, 64]",leaky_relu,64
505,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_leaky_relu_fc1_size_128/",0,0.8339828526890102,0.0001,20,50,"[32, 64]",leaky_relu,128
506,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_leaky_relu_fc1_size_128/",1,0.8326817826426895,0.0001,20,50,"[32, 64]",leaky_relu,128
507,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_leaky_relu_fc1_size_128/",2,0.8326817826426895,0.0001,20,50,"[32, 64]",leaky_relu,128
508,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_leaky_relu_fc1_size_128/",3,0.8326817826426895,0.0001,20,50,"[32, 64]",leaky_relu,128
509,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64]_activation_leaky_relu_fc1_size_128/",4,0.8532695374800638,0.0001,20,50,"[32, 64]",leaky_relu,128
510,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_relu_fc1_size_32/",0,0.8339828526890102,0.0001,20,50,"[32, 64, 128]",relu,32
511,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_relu_fc1_size_32/",1,0.8326817826426895,0.0001,20,50,"[32, 64, 128]",relu,32
512,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_relu_fc1_size_32/",2,0.8326817826426895,0.0001,20,50,"[32, 64, 128]",relu,32
513,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_relu_fc1_size_32/",3,0.8526821457165733,0.0001,20,50,"[32, 64, 128]",relu,32
514,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_relu_fc1_size_32/",4,0.8339828526890102,0.0001,20,50,"[32, 64, 128]",relu,32
515,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_relu_fc1_size_64/",0,0.8339828526890102,0.0001,20,50,"[32, 64, 128]",relu,64
516,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_relu_fc1_size_64/",1,0.8326817826426895,0.0001,20,50,"[32, 64, 128]",relu,64
517,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_relu_fc1_size_64/",2,0.8326817826426895,0.0001,20,50,"[32, 64, 128]",relu,64
518,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_relu_fc1_size_64/",3,0.8326817826426895,0.0001,20,50,"[32, 64, 128]",relu,64
519,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_relu_fc1_size_64/",4,0.8339828526890102,0.0001,20,50,"[32, 64, 128]",relu,64
520,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_relu_fc1_size_128/",0,0.8339828526890102,0.0001,20,50,"[32, 64, 128]",relu,128
521,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_relu_fc1_size_128/",1,0.8326817826426895,0.0001,20,50,"[32, 64, 128]",relu,128
522,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_relu_fc1_size_128/",2,0.8326817826426895,0.0001,20,50,"[32, 64, 128]",relu,128
523,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_relu_fc1_size_128/",3,0.8326817826426895,0.0001,20,50,"[32, 64, 128]",relu,128
524,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_relu_fc1_size_128/",4,0.8339828526890102,0.0001,20,50,"[32, 64, 128]",relu,128
525,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_32/",0,0.8339828526890102,0.0001,20,50,"[32, 64, 128]",leaky_relu,32
526,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_32/",1,0.8326817826426895,0.0001,20,50,"[32, 64, 128]",leaky_relu,32
527,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_32/",2,0.8326817826426895,0.0001,20,50,"[32, 64, 128]",leaky_relu,32
528,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_32/",3,0.8326817826426895,0.0001,20,50,"[32, 64, 128]",leaky_relu,32
529,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_32/",4,0.8339828526890102,0.0001,20,50,"[32, 64, 128]",leaky_relu,32
530,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_64/",0,0.8339828526890102,0.0001,20,50,"[32, 64, 128]",leaky_relu,64
531,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_64/",1,0.8326817826426895,0.0001,20,50,"[32, 64, 128]",leaky_relu,64
532,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_64/",2,0.8326817826426895,0.0001,20,50,"[32, 64, 128]",leaky_relu,64
533,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_64/",3,0.8326817826426895,0.0001,20,50,"[32, 64, 128]",leaky_relu,64
534,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_64/",4,0.8339828526890102,0.0001,20,50,"[32, 64, 128]",leaky_relu,64
535,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_128/",0,0.8339828526890102,0.0001,20,50,"[32, 64, 128]",leaky_relu,128
536,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_128/",1,0.8326817826426895,0.0001,20,50,"[32, 64, 128]",leaky_relu,128
537,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_128/",2,0.8326817826426895,0.0001,20,50,"[32, 64, 128]",leaky_relu,128
538,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_128/",3,0.8326817826426895,0.0001,20,50,"[32, 64, 128]",leaky_relu,128
539,"lr_0.0001_num_epochs_20_kernel_size_50_out_channels_[32, 64, 128]_activation_leaky_relu_fc1_size_128/",4,0.8339828526890102,0.0001,20,50,"[32, 64, 128]",leaky_relu,128
540,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_32/,0,0.8339828526890102,0.001,10,5,[32],relu,32
541,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_32/,1,0.8326817826426895,0.001,10,5,[32],relu,32
542,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_32/,2,0.8326817826426895,0.001,10,5,[32],relu,32
543,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_32/,3,0.8326817826426895,0.001,10,5,[32],relu,32
544,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_32/,4,0.8339828526890102,0.001,10,5,[32],relu,32
545,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_64/,0,0.8339828526890102,0.001,10,5,[32],relu,64
546,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_64/,1,0.8326817826426895,0.001,10,5,[32],relu,64
547,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_64/,2,0.8326817826426895,0.001,10,5,[32],relu,64
548,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_64/,3,0.8326817826426895,0.001,10,5,[32],relu,64
549,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_64/,4,0.8339828526890102,0.001,10,5,[32],relu,64
550,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_128/,0,0.8339828526890102,0.001,10,5,[32],relu,128
551,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_128/,1,0.8372641509433962,0.001,10,5,[32],relu,128
552,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_128/,2,0.8326817826426895,0.001,10,5,[32],relu,128
553,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_128/,3,0.8326817826426895,0.001,10,5,[32],relu,128
554,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_relu_fc1_size_128/,4,0.8339828526890102,0.001,10,5,[32],relu,128
555,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_32/,0,0.8339828526890102,0.001,10,5,[32],leaky_relu,32
556,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_32/,1,0.8326817826426895,0.001,10,5,[32],leaky_relu,32
557,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_32/,2,0.8577586206896551,0.001,10,5,[32],leaky_relu,32
558,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_32/,3,0.8326817826426895,0.001,10,5,[32],leaky_relu,32
559,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_32/,4,0.8339828526890102,0.001,10,5,[32],leaky_relu,32
560,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_64/,0,0.8339828526890102,0.001,10,5,[32],leaky_relu,64
561,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_64/,1,0.8326817826426895,0.001,10,5,[32],leaky_relu,64
562,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_64/,2,0.8593054318788959,0.001,10,5,[32],leaky_relu,64
563,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_64/,3,0.8326817826426895,0.001,10,5,[32],leaky_relu,64
564,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_64/,4,0.8339828526890102,0.001,10,5,[32],leaky_relu,64
565,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_128/,0,0.8339828526890102,0.001,10,5,[32],leaky_relu,128
566,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_128/,1,0.8326817826426895,0.001,10,5,[32],leaky_relu,128
567,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_128/,2,0.8326817826426895,0.001,10,5,[32],leaky_relu,128
568,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_128/,3,0.8326817826426895,0.001,10,5,[32],leaky_relu,128
569,lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32]_activation_leaky_relu_fc1_size_128/,4,0.8566433566433567,0.001,10,5,[32],leaky_relu,128
570,"lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_32/",0,0.8339828526890102,0.001,10,5,"[32, 64]",relu,32
571,"lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_32/",1,0.8326817826426895,0.001,10,5,"[32, 64]",relu,32
572,"lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_32/",2,0.8326817826426895,0.001,10,5,"[32, 64]",relu,32
573,"lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_32/",3,0.8326817826426895,0.001,10,5,"[32, 64]",relu,32
574,"lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_32/",4,0.8392156862745098,0.001,10,5,"[32, 64]",relu,32
575,"lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_64/",0,0.8339828526890102,0.001,10,5,"[32, 64]",relu,64
576,"lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_64/",1,0.8326817826426895,0.001,10,5,"[32, 64]",relu,64
577,"lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_64/",2,0.8326817826426895,0.001,10,5,"[32, 64]",relu,64
578,"lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_64/",3,0.8326817826426895,0.001,10,5,"[32, 64]",relu,64
579,"lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_64/",4,0.8339828526890102,0.001,10,5,"[32, 64]",relu,64
580,"lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_128/",0,0.8339828526890102,0.001,10,5,"[32, 64]",relu,128
581,"lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_128/",1,0.8359497645211931,0.001,10,5,"[32, 64]",relu,128
582,"lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_128/",2,0.8326817826426895,0.001,10,5,"[32, 64]",relu,128
583,"lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_128/",3,0.8326817826426895,0.001,10,5,"[32, 64]",relu,128
584,"lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_relu_fc1_size_128/",4,0.8339828526890102,0.001,10,5,"[32, 64]",relu,128
585,"lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_leaky_relu_fc1_size_32/",0,0.8339828526890102,0.001,10,5,"[32, 64]",leaky_relu,32
586,"lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_leaky_relu_fc1_size_32/",1,0.8584589614740369,0.001,10,5,"[32, 64]",leaky_relu,32
587,"lr_0.001_num_epochs_10_kernel_size_5_out_channels_[32, 64]_activation_leaky_relu_fc1_size_32/",2,0.8326817826426895,0.001,10,5,"[32, 64]",leaky_relu,32
