,model,split,f2_score,kernel,nu,gamma,encoding_dim
49,kernel_linear_nu_0.05_gamma_auto_encoding_dim_64/,4,0.8339828526890102,linear,0.05,auto,64
50,kernel_linear_nu_0.05_gamma_auto_encoding_dim_128/,0,0.8333333333333334,linear,0.05,auto,128
51,kernel_linear_nu_0.05_gamma_auto_encoding_dim_128/,1,0.8333333333333334,linear,0.05,auto,128
52,kernel_linear_nu_0.05_gamma_auto_encoding_dim_128/,2,0.8333333333333334,linear,0.05,auto,128
53,kernel_linear_nu_0.05_gamma_auto_encoding_dim_128/,3,0.8339828526890102,linear,0.05,auto,128
54,kernel_linear_nu_0.05_gamma_auto_encoding_dim_128/,4,0.8333333333333334,linear,0.05,auto,128
55,kernel_linear_nu_0.05_gamma_auto_encoding_dim_256/,0,0.8333333333333334,linear,0.05,auto,256
56,kernel_linear_nu_0.05_gamma_auto_encoding_dim_256/,1,0.8333333333333334,linear,0.05,auto,256
57,kernel_linear_nu_0.05_gamma_auto_encoding_dim_256/,2,0.8333333333333334,linear,0.05,auto,256
58,kernel_linear_nu_0.05_gamma_auto_encoding_dim_256/,3,0.8339828526890102,linear,0.05,auto,256
59,kernel_linear_nu_0.05_gamma_auto_encoding_dim_256/,4,0.8333333333333334,linear,0.05,auto,256
60,kernel_linear_nu_0.1_gamma_scale_encoding_dim_64/,0,0.8339828526890102,linear,0.1,scale,64
61,kernel_linear_nu_0.1_gamma_scale_encoding_dim_64/,1,0.8333333333333334,linear,0.1,scale,64
62,kernel_linear_nu_0.1_gamma_scale_encoding_dim_64/,2,0.8333333333333334,linear,0.1,scale,64
63,kernel_linear_nu_0.1_gamma_scale_encoding_dim_64/,3,0.8339828526890102,linear,0.1,scale,64
64,kernel_linear_nu_0.1_gamma_scale_encoding_dim_64/,4,0.8339828526890102,linear,0.1,scale,64
65,kernel_linear_nu_0.1_gamma_scale_encoding_dim_128/,0,0.8333333333333334,linear,0.1,scale,128
66,kernel_linear_nu_0.1_gamma_scale_encoding_dim_128/,1,0.8339828526890102,linear,0.1,scale,128
67,kernel_linear_nu_0.1_gamma_scale_encoding_dim_128/,2,0.8333333333333334,linear,0.1,scale,128
68,kernel_linear_nu_0.1_gamma_scale_encoding_dim_128/,3,0.8333333333333334,linear,0.1,scale,128
69,kernel_linear_nu_0.1_gamma_scale_encoding_dim_128/,4,0.8333333333333334,linear,0.1,scale,128
70,kernel_linear_nu_0.1_gamma_scale_encoding_dim_256/,0,0.8333333333333334,linear,0.1,scale,256
71,kernel_linear_nu_0.1_gamma_scale_encoding_dim_256/,1,0.8333333333333334,linear,0.1,scale,256
72,kernel_linear_nu_0.1_gamma_scale_encoding_dim_256/,2,0.8333333333333334,linear,0.1,scale,256
73,kernel_linear_nu_0.1_gamma_scale_encoding_dim_256/,3,0.8346333853354134,linear,0.1,scale,256
74,kernel_linear_nu_0.1_gamma_scale_encoding_dim_256/,4,0.8333333333333334,linear,0.1,scale,256
75,kernel_linear_nu_0.1_gamma_auto_encoding_dim_64/,0,0.8339828526890102,linear,0.1,auto,64
76,kernel_linear_nu_0.1_gamma_auto_encoding_dim_64/,1,0.8333333333333334,linear,0.1,auto,64
77,kernel_linear_nu_0.1_gamma_auto_encoding_dim_64/,2,0.8333333333333334,linear,0.1,auto,64
78,kernel_linear_nu_0.1_gamma_auto_encoding_dim_64/,3,0.8339828526890102,linear,0.1,auto,64
79,kernel_linear_nu_0.1_gamma_auto_encoding_dim_64/,4,0.8339828526890102,linear,0.1,auto,64
80,kernel_linear_nu_0.1_gamma_auto_encoding_dim_128/,0,0.8333333333333334,linear,0.1,auto,128
81,kernel_linear_nu_0.1_gamma_auto_encoding_dim_128/,1,0.8339828526890102,linear,0.1,auto,128
82,kernel_linear_nu_0.1_gamma_auto_encoding_dim_128/,2,0.8333333333333334,linear,0.1,auto,128
83,kernel_linear_nu_0.1_gamma_auto_encoding_dim_128/,3,0.8333333333333334,linear,0.1,auto,128
