,model,split,f2_score,lr,batch_size,num_epochs,encoding_dim,hidden_dims,activation
0,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_256_hidden_dims_[1024]_activation_leaky_relu/,0,0.8573784006595219,0.0001,32,20,256,[1024],leaky_relu
1,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_256_hidden_dims_[1024]_activation_leaky_relu/,1,0.8580593424218124,0.0001,32,20,256,[1024],leaky_relu
2,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_256_hidden_dims_[1024]_activation_leaky_relu/,2,0.8367854183927091,0.0001,32,20,256,[1024],leaky_relu
3,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_256_hidden_dims_[1024]_activation_leaky_relu/,3,0.8665581773799838,0.0001,32,20,256,[1024],leaky_relu
4,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_256_hidden_dims_[1024]_activation_leaky_relu/,4,0.8333333333333334,0.0001,32,20,256,[1024],leaky_relu
