,model,split,f2_score
73,lr_0.001_num_epochs_10_kernel_size_20/,3,0.8326817826426895
74,lr_0.001_num_epochs_10_kernel_size_20/,4,0.8339828526890102
75,lr_0.001_num_epochs_10_kernel_size_50/,0,0.8339828526890102
76,lr_0.001_num_epochs_10_kernel_size_50/,1,0.8326817826426895
77,lr_0.001_num_epochs_10_kernel_size_50/,2,0.8339859044635866
78,lr_0.001_num_epochs_10_kernel_size_50/,3,0.8326817826426895
79,lr_0.001_num_epochs_10_kernel_size_50/,4,0.8339828526890102
80,lr_0.001_num_epochs_20_kernel_size_5/,0,0.8339828526890102
81,lr_0.001_num_epochs_20_kernel_size_5/,1,0.8326817826426895
82,lr_0.001_num_epochs_20_kernel_size_5/,2,0.8326817826426895
83,lr_0.001_num_epochs_20_kernel_size_5/,3,0.8326817826426895
84,lr_0.001_num_epochs_20_kernel_size_5/,4,0.8339828526890102
85,lr_0.001_num_epochs_20_kernel_size_10/,0,0.8467400508044031
86,lr_0.001_num_epochs_20_kernel_size_10/,1,0.8326817826426895
87,lr_0.001_num_epochs_20_kernel_size_10/,2,0.8326817826426895
88,lr_0.001_num_epochs_20_kernel_size_10/,3,0.8326817826426895
89,lr_0.001_num_epochs_20_kernel_size_10/,4,0.8339828526890102
90,lr_0.001_num_epochs_20_kernel_size_20/,0,0.8339828526890102
91,lr_0.001_num_epochs_20_kernel_size_20/,1,0.8326817826426895
92,lr_0.001_num_epochs_20_kernel_size_20/,2,0.8326817826426895
93,lr_0.001_num_epochs_20_kernel_size_20/,3,0.8326817826426895
94,lr_0.001_num_epochs_20_kernel_size_20/,4,0.8339828526890102
95,lr_0.001_num_epochs_20_kernel_size_50/,0,0.8339828526890102
96,lr_0.001_num_epochs_20_kernel_size_50/,1,0.8326817826426895
97,lr_0.001_num_epochs_20_kernel_size_50/,2,0.8578431372549019
98,lr_0.001_num_epochs_20_kernel_size_50/,3,0.8326817826426895
99,lr_0.001_num_epochs_20_kernel_size_50/,4,0.8339828526890102
100,lr_0.001_num_epochs_50_kernel_size_5/,0,0.8339828526890102
101,lr_0.001_num_epochs_50_kernel_size_5/,1,0.8326817826426895
102,lr_0.001_num_epochs_50_kernel_size_5/,2,0.8326817826426895
103,lr_0.001_num_epochs_50_kernel_size_5/,3,0.8326817826426895
104,lr_0.001_num_epochs_50_kernel_size_5/,4,0.8339828526890102
105,lr_0.001_num_epochs_50_kernel_size_10/,0,0.8339828526890102
106,lr_0.001_num_epochs_50_kernel_size_10/,1,0.8326817826426895
107,lr_0.001_num_epochs_50_kernel_size_10/,2,0.8326817826426895
108,lr_0.001_num_epochs_50_kernel_size_10/,3,0.860484544695071
109,lr_0.001_num_epochs_50_kernel_size_10/,4,0.8339828526890102
110,lr_0.001_num_epochs_50_kernel_size_20/,0,0.8656224237427865
111,lr_0.001_num_epochs_50_kernel_size_20/,1,0.8326817826426895
112,lr_0.001_num_epochs_50_kernel_size_20/,2,0.8326817826426895
113,lr_0.001_num_epochs_50_kernel_size_20/,3,0.8326817826426895
