,model,split,f2_score,n_neighbors,metric,contamination
0,n_neighbors_20_metric_manhattan_contamination_0.2/,0,0.8339828526890102,20,manhattan,0.2
1,n_neighbors_20_metric_manhattan_contamination_0.2/,1,0.8333333333333334,20,manhattan,0.2
2,n_neighbors_20_metric_manhattan_contamination_0.2/,2,0.8452950558213717,20,manhattan,0.2
3,n_neighbors_20_metric_manhattan_contamination_0.2/,3,0.8333333333333334,20,manhattan,0.2
4,n_neighbors_20_metric_manhattan_contamination_0.2/,4,0.8333333333333334,20,manhattan,0.2
